m_bene,s_bene,genere,regione,provincia,comune,indirizzo,ufficio,distretto,procedura,fascicolo_tipo,categoria,sottocategoria,tipologia,destinatario,fine,utilizzo,decreto_numero,decreto_anno,decreto_data
A-CE-324578,A-CE-48274-S,aziende,Campania,Caserta,San Felice a Cancello,VIA POLVICA 25,Procura della Repubblica,Napoli,16667/2012,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18933,2021,30/03/2021
A-CE-328578,A-CE-59267-S,aziende,Campania,Caserta,Trentola-Ducenta,viale Kennedy ultima traversa n. 1,Tribunale,Latina,27/2008,Prevenzione,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,1956,2021,14/01/2021
A-CE-336465,A-CE-70382-S,aziende,Campania,Caserta,Villa Literno,VIA AVERSA SNC,Tribunale,Santa Maria Capua Vetere,96/2009,Prevenzione,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,714,2020,09/01/2020
A-CE-34186,A-CE-37996-S,aziende,Campania,Caserta,Castel Volturno,"VIA PARCO SARACENO, TERRANEO 10/11 CAP 81030,",Corte d'Appello,NAPOLI,1/1999,Prevenzione,Società in accomandita semplice,Alberghi e ristoranti,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,217,2001,13/12/2001
A-CE-341917,A-CE-76188-S,aziende,Campania,Caserta,Maddaloni,vico funaro 4,Tribunale,Santa Maria Capua Vetere,18/2010,Prevenzione,Impresa individuale,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,32364,2019,18/07/2019
A-CE-341976,A-CE-71206-S,aziende,Campania,Caserta,Casal di Principe,Corso Umberto 639,Tribunale,Santa Maria Capua Vetere,38/2011,Prevenzione,Società in nome collettivo,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44428,2021,02/08/2021
A-CE-34225,,aziende,Campania,Caserta,Mondragone,"VIA DOMITIANA, KM.21+00 CAP 81034,",Corte d'Appello,NAPOLI,1/1995,,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,4,1995,17/02/1995
A-CE-343476,A-CE-75511-S,aziende,Campania,Caserta,Capua,Via Fuori Porta Roma n. 169/B,Procura della Repubblica,Napoli,52870/2012,Penale,Società in accomandita semplice,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47119,2019,07/11/2019
A-CE-343478,A-CE-75516-S,aziende,Campania,Caserta,Casagiove,Via Regalone n.23 cap. 81022,Procura della Repubblica,Napoli,52870/2012,Penale,Società in accomandita semplice,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47128,2019,07/11/2019
A-CE-343479,A-CE-75588-S,aziende,Campania,Caserta,Casagiove,Via Rigalone n.23 cap.81022,Procura della Repubblica,Napoli,52870/2012,Penale,Società in accomandita semplice,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47126,2019,07/11/2019
A-CE-343480,A-CE-75589-S,aziende,Campania,Caserta,Portico di Caserta,"Via Napoli I, Parco Fontana",Procura della Repubblica,Napoli,52870/2012,Penale,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47125,2019,07/11/2019
A-CE-343481,A-CE-75592-S,aziende,Campania,Caserta,Caserta,Via San Giovanni n.14 cap.81100,Procura della Repubblica,Napoli,52870/2012,Penale,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47122,2019,07/11/2019
A-CE-343484,A-CE-75653-S,aziende,Campania,Caserta,Maddaloni,Via Matilde Serao n. 18,Procura della Repubblica,Napoli,52870/2012,Penale,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47838,2019,12/11/2019
A-CE-343485,A-CE-75654-S,aziende,Campania,Caserta,Marcianise,Via Diaz n.24,Procura della Repubblica,Napoli,52870/2012,Penale,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,25645,2020,26/06/2020
A-CE-34374,A-CE-19003-S,aziende,Campania,Caserta,Villa Literno,"VIA STRADA PROV.LE VILLA LITERNO CAP 81039,",Tribunale,SANTA MARIA CAPUA VETERE,62/2005,Prevenzione,Società in accomandita semplice,Estrazione di minerali,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,24143,2016,30/05/2016
A-CE-343911,A-CE-78247-S,aziende,Campania,Caserta,Capua,Via Fuori Porta Roma 169,Procura della Repubblica,Napoli,52870/2012,Penale,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,25648,2020,26/06/2020
A-CE-343987,A-CE-71204-S,aziende,Campania,Caserta,Santa Maria Capua Vetere,via Cappabianca 19,Tribunale,Santa Maria Capua Vetere,38/2011,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44429,2021,02/08/2021
A-CE-34413,A-CE-12306-S,aziende,Campania,Caserta,Camigliano,"VIA LEPORANO,110,",Tribunale,SANTA MARIA CAPUA VETERE,148/1995,Prevenzione,Società a responsabilità limitata,Estrazione di minerali,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,19147,2015,26/05/2015
A-CE-345711,A-CE-81327-S,aziende,Campania,Caserta,Casal di Principe,via San Donato n. 70,Procura della Repubblica,Napoli,41202/2010,Penale,Impresa individuale,Alberghi e ristoranti,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45848,2019,30/10/2019
A-CE-347845,A-CE-80197-S,aziende,Campania,Caserta,Marcianise,via Villari 14,Procura della Repubblica,Santa Maria Capua Vetere,56063/2009,Penale,Società in accomandita semplice,Alberghi e ristoranti,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45916,2019,30/10/2019
A-CE-347848,A-CE-80200-S,aziende,Campania,Caserta,Caserta,via ruggiero 103,Procura della Repubblica,Santa Maria Capua Vetere,56063/2009,Penale,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,21950,2021,14/04/2021
A-CE-347849,A-CE-80201-S,aziende,Campania,Caserta,Caserta,Viale delle Querce,Procura della Repubblica,Santa Maria Capua Vetere,56063/2009,Penale,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,43101,2019,15/10/2019
A-CE-348792,A-CE-79699-S,aziende,Campania,Caserta,Caserta,VIA LORENZETTI 23 PARCO DEI PINI,Procura della Repubblica,Napoli,52594/2002,Penale,Impresa individuale,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47124,2019,07/11/2019
A-CE-350488,A-CE-86405-S,aziende,Campania,Caserta,Caserta,CORSO TRIESTE 106,Procura della Repubblica,Napoli,39197/2004,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,48050,2020,16/11/2020
A-CE-350489,A-CE-86406-S,aziende,Campania,Caserta,Villa di Briano,VIA PLATONE 13,Procura della Repubblica,Napoli,39197/2004,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,48068,2020,16/11/2020
A-CE-352871,A-CE-85334-S,aziende,Campania,Caserta,Mondragone,"Via XI Febbraio, 2",Tribunale,Santa Maria Capua Vetere,167/2013,Prevenzione,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,10710,2021,23/02/2021
A-CE-356153,A-CE-94702-S,aziende,Campania,Caserta,Aversa,E.CORCIONE,Tribunale,Santa Maria Capua Vetere,12/2001,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,21145,2021,12/04/2021
A-CE-5626,,aziende,Campania,Caserta,Santa Maria Capua Vetere,"VIA RAMPETTA DE MICHELE CAP 81055,",Tribunale,SANTA MARIA CAPUA VETERE,3/1993,,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Vendita,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,259,2003,23/12/2003
A-CE-5664,,aziende,Campania,Caserta,Santa Maria Capua Vetere,"VIA R.D'ARGIO' 26,",Tribunale,SANTA MARIA CAPUA VETERE,3/1993,,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,64,1999,24/05/1999
A-CE-5679,,aziende,Campania,Caserta,Santa Maria Capua Vetere,"VIA JAN PALACK CENTRAL PARK CAP 81055,",Tribunale,SANTA MARIA CAPUA VETERE,3/1993,,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,11,1994,26/04/1994
A-CE-9613,,aziende,Campania,Caserta,Francolise,"LENZA DI FUORI, VIA REDI 6 CAP 81036,",Tribunale,SANTA MARIA CAPUA VETERE,4/1993,,Impresa individuale,"Agricoltura, caccia e silvicoltura",Vendita,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,222,2003,04/11/2003
A-CH-251949,A-CH-16157-S,aziende,Abruzzo,Chieti,Vasto,LOGGIA AMBLINGH,Procura della Repubblica,Chieti,661/2008,Penale,Società cooperativa,Alberghi e ristoranti,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,27351,2016,17/06/2016
A-CH-312059,A-CH-8195-S,aziende,Abruzzo,Chieti,Lanciano,VIA MARTIRI 6 OTTOBRE 75,Procura della Repubblica,Lanciano,1138/2012,Penale,Società in nome collettivo,Alberghi e ristoranti,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44890,2019,24/10/2019
A-CL-138456,A-CL-25398-S,aziende,Sicilia,Caltanissetta,Mussomeli,"C/DA MANCA,",Tribunale,CALTANISSETTA,129/2002,Prevenzione,Società in accomandita semplice,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18334,2015,20/05/2015
A-CL-152774,A-CL-18752-S,aziende,Sicilia,Caltanissetta,Serradifalco,VIA PADRE INGRAO,Tribunale,Caltanissetta,95/2003,Prevenzione,Società in accomandita semplice,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,37319,2019,04/09/2019
A-CL-242763,A-CL-40997-S,aziende,Sicilia,Caltanissetta,Gela,"VIA DELLE ROSE 30,",Tribunale,CALTANISSETTA,102/2004,Prevenzione,Società a responsabilità limitata,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,522,2009,30/11/2009
A-CL-242767,A-CL-40998-S,aziende,Sicilia,Caltanissetta,Gela,"VIA CICERONE 139,",Tribunale,CALTANISSETTA,102/2004,Prevenzione,Società a responsabilità limitata,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,521,2009,30/11/2009
A-CL-271749,A-CL-32377-S,aziende,Sicilia,Caltanissetta,Gela,"VIA VENEZIA 183,",Tribunale,CALTANISSETTA,90/2008,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,217,2009,04/06/2009
A-CL-312113,A-CL-30191-S,aziende,Sicilia,Caltanissetta,Caltanissetta,"VIA DEI MILLE, 9",Tribunale,CALTANISSETTA,146/2006,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45842,2015,02/12/2015
A-CL-316525,A-CL-7016-S,aziende,Sicilia,Caltanissetta,Caltanissetta,VIA BASILE,Tribunale,Caltanissetta,46/2005,Prevenzione,Società in nome collettivo,,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,12069,2013,28/05/2013
A-CL-316536,A-CL-7023-S,aziende,Sicilia,Caltanissetta,Gela,gela,Tribunale,Caltanissetta,46/2005,Prevenzione,Impresa individuale,"Agricoltura, caccia e silvicoltura",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,12081,2013,28/05/2013
A-CL-316541,A-CL-7025-S,aziende,Sicilia,Caltanissetta,Gela,VIA C. COLOMBO,Tribunale,Caltanissetta,90/2003,Prevenzione,Impresa individuale,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,41229,2019,02/10/2019
A-CL-317011,A-CL-30194-S,aziende,Sicilia,Caltanissetta,Caltanissetta,"VIA N.COLAJANNI, 314/I",Tribunale,CALTANISSETTA,146/2006,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,21951,2016,17/05/2016
A-CL-317026,A-CL-30195-S,aziende,Sicilia,Caltanissetta,Caltanissetta,"VIA N. COLAJANNI, 314/D",Tribunale,CALTANISSETTA,146/2006,Prevenzione,Società a responsabilità limitata,Attività finanziarie,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,21983,2016,17/05/2016
A-CL-317041,A-CL-30196-S,aziende,Sicilia,Caltanissetta,Caltanissetta,"VIA N. COLAJANNI, 314/E",Tribunale,CALTANISSETTA,146/2006,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,21981,2016,17/05/2016
A-CL-317044,A-CL-30197-S,aziende,Sicilia,Caltanissetta,Caltanissetta,"VIA N. COLAJANNI, 314/E",Tribunale,CALTANISSETTA,146/2006,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,21954,2016,17/05/2016
A-CL-317045,A-CL-30198-S,aziende,Sicilia,Caltanissetta,Caltanissetta,"VIA N. COLAJANNI, 314/E",Tribunale,CALTANISSETTA,146/2006,Prevenzione,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,21984,2016,17/05/2016
A-CL-317051,A-CL-30199-S,aziende,Sicilia,Caltanissetta,Caltanissetta,"VIA N. COLAJANNI, 14/E",Tribunale,CALTANISSETTA,146/2006,Prevenzione,Società a responsabilità limitata,,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,21982,2016,17/05/2016
A-CL-318785,A-CL-30200-S,aziende,Sicilia,Caltanissetta,Caltanissetta,"VIA N. COLAJANNI, 314/E",Tribunale,CALTANISSETTA,146/2006,Prevenzione,Società cooperativa a responsabilità limitata,"Produzione e distribuzione di energia elettrica, gas e acqua",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,21860,2016,17/05/2016
A-CL-323421,A-CL-55901-S,aziende,Sicilia,Caltanissetta,Campofranco,Via San Giuseppe 106,Procura della Repubblica,Caltanissetta,129/2007,Penale,Società cooperativa a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,38327,2019,12/09/2019
A-CL-328071,A-CL-63287-S,aziende,Sicilia,Caltanissetta,Sutera,VIA ORTI N. 35,Tribunale,Caltanissetta,58/2012,Prevenzione,Impresa individuale,"Agricoltura, caccia e silvicoltura",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,41175,2019,02/10/2019
A-CL-339383,A-CL-78956-S,aziende,Sicilia,Caltanissetta,Montedoro,VIA CARDINALE GUARINO,Tribunale,Caltanissetta,5/2015,Prevenzione,Impresa individuale,"Agricoltura, caccia e silvicoltura",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,41297,2019,03/10/2019
A-CL-343614,A-CL-77535-S,aziende,Sicilia,Caltanissetta,Vallelunga Pratameno,VIA F. CRISPI,Tribunale,Caltanissetta,2/2010,Prevenzione,Impresa individuale,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,41298,2019,03/10/2019
A-CL-345661,A-CL-81065-S,aziende,Sicilia,Caltanissetta,San Cataldo,Don Bosco n.81,Tribunale,Caltanissetta,8/2011,Prevenzione,Società in accomandita semplice,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45067,2019,25/10/2019
A-CL-345662,A-CL-81066-S,aziende,Sicilia,Caltanissetta,San Cataldo,"Via Don Bosco,81",Tribunale,Caltanissetta,8/2011,Prevenzione,Società in accomandita per azioni,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45065,2019,25/10/2019
A-CL-348721,A-CL-55893-S,aziende,Sicilia,Caltanissetta,Campofranco,C/DA S. CROCE 16/A,Procura della Repubblica,Caltanissetta,129/2007,Penale,Impresa individuale,Estrazione di minerali,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,41188,2019,02/10/2019
A-CL-348722,A-CL-55895-S,aziende,Sicilia,Caltanissetta,Serradifalco,Via Crispi 27/A,Procura della Repubblica,Caltanissetta,129/2007,Penale,Impresa individuale,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,41184,2019,02/10/2019
A-CL-348723,A-CL-55897-S,aziende,Sicilia,Caltanissetta,Serradifalco,VIA CAVALIERI DI VITTORIO VENE 15,Procura della Repubblica,Caltanissetta,129/2007,Penale,Società cooperativa,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45066,2019,25/10/2019
A-CN-285272,A-CN-39365-S,aziende,Piemonte,Cuneo,Fossano,VIA S.GIUSEPPE N.60,Corte di Appello,Reggio Calabria,443/2011,Penale,Società in nome collettivo,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Vendita,Altro,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,52350,2018,30/11/2018
A-CO-185369,A-CO-29802-S,aziende,Lombardia,Como,Alserio,"VIA CARLO IMBONATI N.36,",Procura della Repubblica,LECCO,682/2003,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,279,2009,30/06/2009
A-CO-253744,A-CO-13069-S,aziende,Lombardia,Como,Cermenate,VIA MONTEBELLO N.19,Tribunale,Reggio Calabria,65/1998,Prevenzione,Società in nome collettivo,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,38430,2018,06/09/2018
A-CO-32281,,aziende,Lombardia,Como,Carimate,"VIA MUSELLE 11,",Corte d'Appello,MILANO,1/2000,,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,166,2006,02/11/2006
A-CR-326942,A-CR-56112-S,aziende,Lombardia,Cremona,Trescore Cremasco,VIA ALZENI 9,Procura della Repubblica,Caltanissetta,467/2007,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,38333,2019,12/09/2019
A-CS-194131,A-CS-17903-S,aziende,Calabria,Cosenza,Castiglione Cosentino,"C.DA SAN LEONARDO 21/22,",Procura della Repubblica,COSENZA,1/2005,Penale,Società a responsabilità limitata,Attività manifatturiere,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,61,2009,11/03/2009
A-CS-242756,A-CS-25709-S,aziende,Calabria,Cosenza,Corigliano Calabro,"VIA NAZIONALE 303 CAP 87064,",Tribunale,COSENZA,61/2009,Prevenzione,Società a responsabilità limitata,"Agricoltura, caccia e silvicoltura",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,17,2010,18/01/2010
A-CS-242759,A-CS-25710-S,aziende,Calabria,Cosenza,Corigliano Calabro,VIA SAN GIOVANNI EVANGELISTA,Tribunale,Cosenza,61/2009,Prevenzione,Società in nome collettivo,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44988,2019,24/10/2019
A-CS-249410,,aziende,Calabria,Cosenza,Corigliano Calabro,"VIA GRADONI S. ANTONIO, 5 - 87064,",Corte d'Appello,CATANZARO,3/2009,,Società in accomandita semplice,Alberghi e ristoranti,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,20005,2015,01/06/2015
A-CS-296903,A-CS-2285-S,aziende,Calabria,Cosenza,Cassano all'Ionio,"FRAZIONE DORIA, VIA ROMA ANGOLO PIAZZA",Tribunale,Cosenza,29/2013,Prevenzione,Impresa individuale,"Altri servizi pubblici, sociali e personali",Vendita,Privati,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,27058,2018,13/06/2018
A-CS-298626,A-CS-15484-S,aziende,Calabria,Cosenza,Amantea,"VIA STROMBOLI,",Procura della Repubblica,Catanzaro,527/2006,Penale,Società in accomandita semplice,Estrazione di minerali,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45335,2019,28/10/2019
A-CS-298627,A-CS-15485-S,aziende,Calabria,Cosenza,Amantea,VIA STROMBOLI SS. 18,Procura della Repubblica,Catanzaro,527/2006,Penale,Impresa individuale,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45336,2019,28/10/2019
A-CS-298628,A-CS-10162-S,aziende,Calabria,Cosenza,Amantea,CORSO MALTA,Tribunale,Cosenza,35/2010,Prevenzione,Impresa individuale,,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,12035,2013,28/05/2013
A-CS-298652,A-CS-15490-S,aziende,Calabria,Cosenza,Amantea,VIA MARGHERITA,Procura della Repubblica,Catanzaro,527/2006,Penale,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,42912,2019,14/10/2019
A-CS-298654,A-CS-15491-S,aziende,Calabria,Cosenza,Amantea,LOCALITA' ACQUICELLA,Procura della Repubblica,Catanzaro,527/2006,Penale,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,42914,2019,14/10/2019
A-CS-298682,A-CS-10179-S,aziende,Calabria,Cosenza,Amantea,PIAZZA MERCATO VECCHIO,Tribunale,Cosenza,36/2010,Prevenzione,Impresa individuale,"Pesca, piscicoltura e servizi connessi",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,41144,2019,02/10/2019
A-CS-298693,A-CS-10163-S,aziende,Calabria,Cosenza,Amantea,"VIA CORECA,",Tribunale,COSENZA,35/2010,Prevenzione,Impresa individuale,,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,31386,2015,03/09/2015
A-CS-298708,A-CS-15551-S,aziende,Calabria,Cosenza,Amantea,"VIA VITTORIO EMANUELE SNC,",Tribunale,COSENZA,33/2010,Prevenzione,Società a responsabilità limitata,,Vendita,Privati,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,16302,2016,14/04/2016
A-CS-299718,A-CS-43650-S,aziende,Calabria,Cosenza,Cosenza,VIA POPILIA X,Tribunale,Cosenza,80/2010,Prevenzione,Società in accomandita semplice,,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,20010,2015,01/06/2015
A-CS-321236,A-CS-37815-S,aziende,Calabria,Cosenza,Belvedere Marittimo,VIALE EUROPA,Tribunale,Cosenza,59/2013,Prevenzione,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,48001,2019,13/11/2019
A-CS-321963,A-CS-54395-S,aziende,Calabria,Cosenza,Altomonte,CONTRADA SERRAGIUMENTA SNC,Tribunale,Cosenza,12/2009,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44872,2019,24/10/2019
A-CS-322291,A-CS-15528-S,aziende,Calabria,Cosenza,Amantea,"VIA STROMBOLI,",Tribunale,Cosenza,34/2010,Prevenzione,Società in accomandita semplice,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,45335,2019,28/10/2019
A-CS-322302,A-CS-40295-S,aziende,Calabria,Cosenza,Cassano all'Ionio,"Contrada Bruscate Piccola, snc",Tribunale,Cosenza,10/2008,Prevenzione,Società in nome collettivo,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30791,2018,05/07/2018
